Elapsed Time (seconds),Temperature 1 (Celsius),Temperature 2 (Celsius),Temperature 3 (Celsius),Temperature 4 (Celsius),Temperature 5 (Celsius),Temperature 6 (Celsius),
0.000000,26.024055,26.064971,27.202304,26.979000,22.971652,22.482894,
0.528000,26.024055,26.300701,27.202304,26.979000,23.460411,22.482894,
1.058000,26.024055,26.064971,26.971042,26.979000,23.460411,22.482894,
1.590000,26.141004,26.182836,27.086673,26.979000,23.460411,22.482894,
2.121000,26.141004,26.300701,27.317935,26.979000,23.949169,22.971652,
2.654000,26.257955,26.182836,27.317935,26.979000,23.460411,23.460411,
3.186000,26.141004,26.182836,27.317935,26.979000,23.949169,23.460411,
3.719000,26.257955,26.182836,27.317935,26.979000,23.949169,22.971652,
4.251000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
4.784000,26.141004,26.182836,27.317935,26.979000,23.949169,23.460411,
5.316000,26.141004,26.182836,27.433565,26.979000,23.949169,22.971652,
5.849000,26.257955,26.300701,27.317935,26.979000,23.949169,22.971652,
6.381000,26.141004,26.300701,27.433565,26.979000,23.949169,23.460411,
6.914000,26.257955,26.182836,27.317935,26.979000,23.949169,22.971652,
7.446000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
7.979000,26.024055,26.182836,27.433565,26.979000,23.949169,22.971652,
8.511000,26.141004,26.300701,27.317935,26.979000,23.949169,23.460411,
9.043000,26.257955,26.182836,27.202304,26.979000,23.949169,22.971652,
9.576000,26.257955,26.182836,27.202304,26.979000,23.949169,22.482894,
10.108000,26.141004,26.300701,27.317935,26.979000,23.949169,22.971652,
10.642000,26.141004,26.182836,27.202304,26.979000,23.949169,23.460411,
11.175000,26.257955,26.182836,27.317935,26.979000,23.949169,22.971652,
11.709000,26.141004,26.300701,27.202304,26.979000,23.949169,23.460411,
12.242000,26.141004,26.182836,27.433565,26.979000,23.949169,22.971652,
12.776000,26.141004,26.300701,27.317935,26.979000,23.949169,23.460411,
13.309000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
13.843000,26.141004,26.064971,27.317935,26.979000,23.949169,23.460411,
14.376000,26.141004,26.182836,27.433565,26.979000,23.949169,22.971652,
14.910000,26.257955,26.064971,27.317935,26.979000,23.949169,22.971652,
15.443000,26.141004,26.300701,27.317935,26.979000,23.949169,23.460411,
15.977000,26.141004,26.064971,27.317935,26.979000,23.949169,22.971652,
16.510000,26.141004,26.300701,27.202304,26.979000,23.949169,23.460411,
17.044000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
17.577000,26.141004,26.182836,27.317935,26.979000,23.949169,23.460411,
18.111000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
18.644000,26.141004,26.182836,27.317935,26.979000,23.460411,22.971652,
19.178000,26.141004,26.182836,27.202304,26.979000,23.949169,22.971652,
19.712000,26.257955,26.182836,27.317935,26.979000,23.949169,23.460411,
20.245000,26.257955,26.064971,27.317935,26.979000,23.949169,23.460411,
20.779000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
21.312000,26.141004,26.182836,27.202304,26.979000,23.949169,23.460411,
21.846000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
22.380000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
22.914000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
23.447000,26.141004,26.182836,27.202304,26.979000,23.949169,22.971652,
23.981000,26.141004,26.064971,27.202304,26.979000,23.949169,23.460411,
24.514000,26.141004,26.064971,27.202304,26.979000,24.437927,22.971652,
25.048000,26.141004,26.300701,27.202304,26.979000,23.949169,23.460411,
25.581000,26.141004,26.182836,27.317935,26.979000,23.949169,22.971652,
26.115000,26.141004,26.182836,27.317935,26.979000,23.949169,23.460411,
26.648000,26.141004,26.064971,27.202304,26.979000,24.437927,23.460411,
27.182000,26.141004,26.182836,27.317935,26.979000,23.949169,23.460411,
