Elapsed Time (seconds),Voltage 1,Voltage 2,Voltage 3,Voltage 4
0.000000,0.801564,0.801564,1.036168,1.182796
0.504000,2.605083,2.693060,2.287390,1.959922
1.009000,2.922776,2.003910,1.891496,1.808407
1.514000,0.762463,1.212121,1.436950,1.583578
2.020000,3.475073,2.829912,2.365591,2.077224
2.525000,0.977517,0.801564,1.168133,1.402737
3.030000,1.886608,2.179863,1.969697,1.837732
3.534000,3.455523,2.429130,2.096774,1.915933
4.040000,0.786901,1.177908,1.402737,1.568915
4.545000,3.479961,3.206256,2.619746,2.267840
5.050000,1.793744,1.500489,1.656892,1.759531
5.556000,1.168133,1.925709,1.867058,1.871945
6.061000,3.533724,2.844575,2.385142,2.126100
6.565000,0.845552,1.173020,1.441838,1.622678
7.070000,3.118279,3.123167,2.609971,2.292278
7.576000,2.624633,1.969697,1.950147,1.950147
8.081000,0.845552,1.471163,1.637341,1.764418
8.586000,3.528837,2.854350,2.404692,2.135875
9.092000,0.845552,0.826002,1.202346,1.451613
9.596000,2.287390,2.458456,2.165200,1.969697
10.101000,3.308896,2.253177,2.023460,1.901271
10.607000,0.791789,1.168133,1.407625,1.583578
11.112000,3.479961,2.976540,2.463343,2.155425
11.617000,1.422287,1.099707,1.368524,1.549365
