Elapsed Time (seconds),Voltage 1,Voltage 2,Voltage 3,Voltage 4
0.000000,2.062561,0.283480,4.276638,2.272727
0.504000,2.062561,0.293255,3.890518,2.277615
1.009000,2.062561,0.283480,2.482893,2.272727
1.515000,2.057673,0.273705,2.517107,2.277615
2.020000,2.052786,0.273705,2.341153,2.277615
2.525000,2.052786,0.288368,2.321603,2.267840
3.031000,2.047898,0.283480,2.453568,2.267840
3.535000,2.043011,0.293255,2.321603,2.272727
4.040000,2.052786,0.322581,2.302053,2.267840
4.546000,2.047898,0.347019,2.292278,2.272727
5.051000,2.052786,0.391007,2.302053,2.277615
5.556000,2.052786,0.415445,2.306940,2.277615
6.062000,2.043011,0.391007,2.302053,2.262952
6.566000,2.038123,0.381232,2.414467,2.258064
7.072000,2.047898,0.391007,2.316715,2.272727
7.577000,2.052786,0.366569,2.302053,2.272727
8.082000,2.052786,0.356794,2.287390,2.262952
8.588000,2.052786,0.347019,2.292278,2.272727
9.093000,2.052786,0.347019,2.287390,2.267840
9.597000,2.052786,0.356794,2.277615,2.267840
10.103000,2.057673,0.327468,2.277615,2.262952
10.608000,2.047898,0.317693,2.277615,2.267840
11.114000,2.052786,0.351906,2.282502,2.262952
11.619000,2.052786,0.415445,2.282502,2.267840
12.124000,2.052786,0.459433,2.282502,2.258064
12.630000,2.052786,0.434995,2.282502,2.262952
13.134000,2.052786,0.454545,2.287390,2.262952
13.640000,2.047898,0.420332,2.287390,2.258064
14.145000,2.047898,0.381232,2.287390,2.262952
14.650000,2.038123,0.376344,2.282502,2.253177
15.156000,2.038123,0.386119,2.292278,2.262952
15.661000,2.033236,0.376344,2.297165,2.262952
16.166000,2.038123,0.410557,2.297165,2.262952
16.671000,2.033236,0.405670,2.297165,2.258064
17.177000,2.033236,0.434995,2.297165,2.253177
17.682000,2.033236,0.444770,2.302053,2.253177
18.187000,2.028348,0.478983,2.302053,2.253177
18.693000,2.028348,0.542522,2.302053,2.253177
19.197000,2.023460,0.552297,2.306940,2.243402
19.703000,2.018573,0.547410,2.776149,2.243402
20.208000,2.023460,0.552297,2.575757,2.248289
20.714000,2.028348,0.522972,4.012708,2.248289
21.219000,2.003910,0.478983,5.000000,2.253177
21.725000,2.003910,0.464321,5.000000,2.253177
22.230000,2.003910,0.405670,5.000000,2.248289
22.734000,2.008798,0.371457,5.000000,2.248289
23.240000,2.008798,0.337243,5.000000,2.248289
23.745000,2.003910,0.307918,5.000000,2.243402
24.251000,2.003910,0.342131,5.000000,2.243402
24.756000,1.994135,0.337243,5.000000,2.243402
25.262000,2.023460,0.347019,5.000000,2.243402
25.766000,2.023460,0.376344,3.479961,2.243402
26.271000,2.018573,0.386119,2.614858,2.243402
26.777000,2.018573,0.410557,2.326491,2.238514
27.282000,2.018573,0.478983,2.287390,2.243402
27.788000,2.018573,0.493646,2.272727,2.243402
28.293000,2.018573,0.493646,2.267840,2.248289
28.798000,2.018573,0.454545,2.267840,2.248289
29.303000,2.018573,0.395894,2.267840,2.238514
29.808000,2.013685,0.400782,2.267840,2.233627
30.314000,2.023460,0.434995,2.272727,2.243402
30.819000,2.028348,0.391007,2.258064,2.243402
31.325000,2.023460,0.376344,2.258064,2.238514
31.830000,2.028348,0.405670,2.248289,2.243402
32.335000,2.023460,0.405670,2.253177,2.238514
32.840000,2.028348,0.400782,2.258064,2.243402
33.345000,2.028348,0.469208,2.262952,2.243402
33.851000,2.023460,0.478983,2.282502,2.233627
34.356000,2.018573,0.425220,2.331378,2.233627
34.862000,2.023460,0.400782,2.243402,2.233627
35.366000,2.023460,0.410557,2.253177,2.238514
35.871000,2.013685,0.400782,2.536657,2.233627
36.377000,1.989247,1.769306,5.000000,2.218964
36.882000,1.974585,1.925709,5.000000,2.209189
37.388000,1.969697,1.955034,5.000000,2.214076
37.893000,1.994135,1.994135,2.209189,2.209189
38.398000,1.984360,1.989247,2.194526,2.204301
38.903000,1.969697,1.979472,2.170088,2.194526
39.409000,1.964809,1.974585,2.174976,2.179863
39.914000,1.959922,1.974585,2.170088,2.174976
40.420000,1.964809,1.994135,2.160313,2.184751
40.925000,1.974585,1.974585,2.150538,2.170088
41.431000,1.979472,1.974585,2.165200,2.174976
41.935000,1.974585,1.974585,2.170088,2.179863
42.441000,1.984360,1.974585,2.184751,2.174976
42.946000,1.989247,1.974585,2.189638,2.179863
43.452000,1.989247,1.979472,2.189638,2.184751
43.957000,1.984360,1.979472,2.189638,2.184751
44.463000,1.979472,1.984360,2.194526,2.189638
44.967000,1.979472,1.984360,2.194526,2.189638
45.473000,1.974585,1.984360,2.194526,2.184751
45.978000,1.974585,1.979472,2.204301,2.189638
