Elapsed Time (seconds),Voltage 1,Voltage 2,Voltage 3,Voltage 4
0.000000,2.913001,2.873900,2.776149,2.693060
0.504000,2.917888,2.878788,2.756598,2.683284
1.009000,2.908113,2.873900,2.761486,2.673509
1.515000,2.898338,2.873900,2.776149,2.688172
2.020000,2.913001,2.883675,2.776149,2.693060
2.526000,2.908113,2.888563,2.776149,2.683284
3.031000,2.893450,2.873900,2.751711,2.673509
3.535000,2.903226,2.873900,2.766373,2.683284
4.041000,2.903226,2.869013,2.771261,2.678397
4.546000,2.903226,2.864125,2.761486,2.678397
5.052000,2.903226,2.854350,2.751711,2.663734
5.557000,2.893450,2.844575,2.746823,2.653959
6.063000,2.893450,2.834799,2.741935,2.653959
6.567000,2.893450,2.829912,2.741935,2.649071
7.072000,2.888563,2.815249,2.722385,2.639296
7.578000,2.864125,2.810362,2.722385,2.653959
8.083000,2.864125,2.815249,2.717498,2.629521
8.589000,2.873900,2.815249,2.727273,2.644184
9.094000,2.869013,2.810362,2.722385,2.639296
9.600000,2.873900,2.805474,2.722385,2.629521
10.104000,2.869013,2.805474,2.722385,2.629521
10.609000,2.869013,2.800586,2.712610,2.629521
11.115000,2.864125,2.795699,2.712610,2.619746
11.620000,2.864125,2.790811,2.707722,2.619746
12.126000,2.864125,2.790811,2.707722,2.619746
12.631000,2.864125,2.790811,2.702835,2.609971
13.136000,2.849462,2.781036,2.693060,2.605083
13.641000,2.869013,2.785924,2.697947,2.614858
14.147000,2.869013,2.790811,2.693060,2.609971
14.652000,2.859237,2.790811,2.702835,2.614858
15.158000,2.859237,2.785924,2.697947,2.609971
15.663000,2.849462,2.790811,2.697947,2.609971
16.168000,2.849462,2.790811,2.702835,2.605083
16.673000,2.849462,2.790811,2.693060,2.605083
17.179000,2.854350,2.785924,2.693060,2.605083
17.684000,2.849462,2.785924,2.697947,2.605083
18.190000,2.839687,2.771261,2.688172,2.595308
18.695000,2.849462,2.785924,2.688172,2.600195
19.201000,2.844575,2.776149,2.688172,2.600195
19.705000,2.844575,2.785924,2.688172,2.605083
20.210000,2.844575,2.781036,2.688172,2.595308
20.716000,2.839687,2.781036,2.683284,2.600195
21.221000,2.839687,2.776149,2.678397,2.595308
21.727000,2.839687,2.776149,2.678397,2.595308
22.232000,2.834799,2.781036,2.678397,2.595308
22.737000,2.829912,2.776149,2.678397,2.590420
23.242000,2.820137,2.756598,2.663734,2.575757
23.748000,2.829912,2.771261,2.668622,2.585533
24.253000,2.834799,2.766373,2.668622,2.580645
24.759000,2.829912,2.766373,2.673509,2.580645
25.264000,2.829912,2.761486,2.668622,2.585533
25.769000,2.820137,2.756598,2.663734,2.570870
26.274000,2.820137,2.761486,2.668622,2.575757
26.780000,2.820137,2.756598,2.658847,2.575757
27.285000,2.815249,2.756598,2.658847,2.570870
27.791000,2.810362,2.751711,2.653959,2.570870
28.296000,2.805474,2.746823,2.639296,2.575757
28.802000,2.815249,2.751711,2.644184,2.570870
29.306000,2.810362,2.746823,2.644184,2.570870
29.812000,2.810362,2.751711,2.644184,2.570870
30.317000,2.810362,2.756598,2.644184,2.565982
30.823000,2.810362,2.746823,2.639296,2.570870
